,Year,Category,value
548,1997,Lupins  _Production,1560.3
549,1998,Lupins  _Production,1694.9
550,1999,Lupins  _Production,1967.8
551,2000,Lupins  _Production,1055.3
552,2001,Lupins  _Production,1213.7
553,2002,Lupins  _Production,725.9
554,2003,Lupins  _Production,1180.7
555,2004,Lupins  _Production,936.9
556,2005,Lupins  _Production,1285.0
557,2006,Lupins  _Production,470.3
558,2007,Lupins  _Production,661.9
559,2008,Lupins  _Production,707.8
560,2009,Lupins  _Production,822.6
561,2010,Lupins  _Production,807.7
562,2011,Lupins  _Production,981.5
563,2012,Lupins  _Production,458.7
564,2013,Lupins  _Production,625.6
565,2014,Lupins  _Production,549.1
566,2015,Lupins  _Production,651.9
567,2016,Lupins  _Production,1031.4
568,2017,Lupins  _Production,714.3
569,2018,Lupins  _Production,798.6
570,2019,Lupins  _Production,591.1
571,2020,Lupins  _Production,865.6
572,2021,Lupins  _Production,957.5
573,2022,Lupins  _Production,1100.8
574,2023,Lupins  _Production,565.8
575,2024,Lupins  _Production,644.0
576,1989,Oats  _Area,1089.0
577,1990,Oats  _Area,1043.6
578,1991,Oats  _Area,1160.1
579,1992,Oats  _Area,1149.1
580,1993,Oats  _Area,947.3
581,1994,Oats  _Area,896.6
582,1995,Oats  _Area,1136.2
583,1996,Oats  _Area,1051.7
584,1997,Oats  _Area,936.6
585,1998,Oats  _Area,908.9
586,1999,Oats  _Area,583.6
587,2000,Oats  _Area,650.4
588,2001,Oats  _Area,784.0
589,2002,Oats  _Area,911.4
590,2003,Oats  _Area,1089.2
591,2004,Oats  _Area,893.6
592,2005,Oats  _Area,930.3
593,2006,Oats  _Area,999.5
594,2007,Oats  _Area,1237.8
595,2008,Oats  _Area,870.2
596,2009,Oats  _Area,850.0
597,2010,Oats  _Area,826.0
598,2011,Oats  _Area,731.1
599,2012,Oats  _Area,728.6
600,2013,Oats  _Area,714.7
601,2014,Oats  _Area,854.4
602,2015,Oats  _Area,821.5
603,2016,Oats  _Area,1027.9
604,2017,Oats  _Area,874.1
605,2018,Oats  _Area,938.1
606,2019,Oats  _Area,816.0
607,2020,Oats  _Area,1069.9
608,2021,Oats  _Area,842.4
609,2022,Oats  _Area,745.0
610,2023,Oats  _Area,677.7
611,2024,Oats  _Area,717.0
612,1989,Oats_Production,1640.0
613,1990,Oats_Production,1529.8
614,1991,Oats_Production,1689.8
615,1992,Oats_Production,1936.4
616,1993,Oats_Production,1646.5
617,1994,Oats_Production,924.1
618,1995,Oats_Production,1874.8
619,1996,Oats_Production,1652.8
620,1997,Oats_Production,1634.3
621,1998,Oats_Production,1798.2
622,1999,Oats_Production,1117.7
623,2000,Oats_Production,1049.7
624,2001,Oats_Production,1433.5
625,2002,Oats_Production,957.0
626,2003,Oats_Production,2017.9
627,2004,Oats_Production,1282.4
628,2005,Oats_Production,1688.0
629,2006,Oats_Production,748.3
